make,model,class,drive,transmission,cylinders,engine_displacement,fuel_type,fuel_type_1,city_mpg,highway_mpg,co2,fuel_economy_score,ghg_score
Honda,CR-V AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (variable gear ratios),4,2.4,Regular,Regular Gasoline,25,31,328,6,6
Honda,CR-V AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (variable gear ratios),4,1.5,Regular,Regular Gasoline,27,33,303,7,7
Honda,CR-V FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (variable gear ratios),4,2.4,Regular,Regular Gasoline,26,32,312,6,6
Honda,CR-V FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (variable gear ratios),4,1.5,Regular,Regular Gasoline,28,34,292,7,7
Honda,Fit,Small Station Wagons,Front-Wheel Drive,Auto(AV-S7),4,1.5,Regular,Regular Gasoline,32,37,260,8,8
Honda,Fit,Small Station Wagons,Front-Wheel Drive,Automatic (variable gear ratios),4,1.5,Regular,Regular Gasoline,33,40,247,8,8
Honda,Fit,Small Station Wagons,Front-Wheel Drive,Manual 6-Speed,4,1.5,Regular,Regular Gasoline,29,36,281,7,7
Honda,HR-V AWD,Small Station Wagons,All-Wheel Drive,Auto(AV-S7),4,1.8,Regular,Regular Gasoline,27,31,314,7,7
Honda,HR-V AWD,Small Station Wagons,All-Wheel Drive,Automatic (variable gear ratios),4,1.8,Regular,Regular Gasoline,27,31,314,7,7
Honda,HR-V FWD,Small Station Wagons,Front-Wheel Drive,Auto(AV-S7),4,1.8,Regular,Regular Gasoline,28,34,289,7,7
Honda,HR-V FWD,Small Station Wagons,Front-Wheel Drive,Automatic (variable gear ratios),4,1.8,Regular,Regular Gasoline,28,34,289,7,7
Honda,HR-V FWD,Small Station Wagons,Front-Wheel Drive,Manual 6-Speed,4,1.8,Regular,Regular Gasoline,25,33,314,6,6
Honda,Odyssey,Minivan - 2WD,Front-Wheel Drive,Automatic 6-Speed,6,3.5,Regular,Regular Gasoline,19,27,404,5,5
Honda,Pilot AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S9),6,3.5,Regular,Regular Gasoline,19,26,407,5,5
Honda,Pilot AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 6-Speed,6,3.5,Regular,Regular Gasoline,18,26,421,4,4
Honda,Pilot FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S9),6,3.5,Regular,Regular Gasoline,20,27,388,5,5
Honda,Pilot FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 6-Speed,6,3.5,Regular,Regular Gasoline,19,27,405,5,5
Honda,Ridgeline AWD,Standard Pickup Trucks 4WD,All-Wheel Drive,Automatic 6-Speed,6,3.5,Regular,Regular Gasoline,18,25,424,4,4
Honda,Ridgeline FWD,Small Pickup Trucks 2WD,Front-Wheel Drive,Automatic 6-Speed,6,3.5,Regular,Regular Gasoline,19,26,410,5,5
Hyundai,Accent,Compact Cars,Front-Wheel Drive,Automatic (S6),4,1.6,Regular,Regular Gasoline,26,36,295,7,7
